detector,localization,k_n,edge_mae,ler_mae,lwr_mae
threshold,pixel,0.3,0.4175728311761488,0.09747566675222463,0.025433476778880415
threshold,sub-pixel,0.3,0.27571350515315085,0.09213797192987994,0.0681634567777174
canny,pixel,0.3,0.4982389831285478,0.23072526799268644,0.14360751873395516
canny,sub-pixel,0.3,0.2778574911074847,0.09230442940814765,0.06194248511366052
threshold,pixel,0.3,0.4152195479479738,0.08747560727811488,0.139580824866536
threshold,sub-pixel,0.3,0.2786786806826551,0.08654703528372765,0.1470783352538667
canny,pixel,0.3,0.477997981480195,0.18936891169715886,0.20947983229155187
canny,sub-pixel,0.3,0.2786786806826551,0.08654703528372765,0.1470783352538667
threshold,pixel,0.3,0.4338581182174444,0.08425902218789627,0.03791361842283547
threshold,sub-pixel,0.3,0.2806683072794832,0.09379991391500953,0.09708722874070719
canny,pixel,0.3,0.5037518678543377,0.201901794525295,0.18741727008979403
canny,sub-pixel,0.3,0.2806683072794832,0.09379991391500953,0.09708722874070719
threshold,pixel,0.3,0.42091287835414315,0.08728865407829389,0.028004953483761863
threshold,sub-pixel,0.3,0.27887694205304037,0.10421511016034013,0.08788760496793424
canny,pixel,0.3,0.4964228446374197,0.20066351726964193,0.15932648422265538
canny,sub-pixel,0.3,0.2832203953059555,0.1130526681030729,0.10043605966112779
threshold,pixel,1.0,0.43063142728396064,0.06751353797460247,0.0028500302617031625
threshold,sub-pixel,1.0,0.294112048492897,0.0904771527964332,0.07437390185580495
canny,pixel,1.0,0.5101624146147461,0.22005947741367693,0.19290443081712483
canny,sub-pixel,1.0,0.294112048492897,0.0904771527964332,0.07437390185580495
threshold,pixel,1.0,0.42559045765507775,0.072814908820106,0.03740733180356215
threshold,sub-pixel,1.0,0.2810848527400778,0.09827993046293004,0.06476146114084513
canny,pixel,1.0,0.49947974161640973,0.203991937780989,0.15142000179450532
canny,sub-pixel,1.0,0.2810848527400778,0.09827993046293004,0.06476146114084513
threshold,pixel,1.0,0.41758593871158534,0.09621550660025835,0.06741528784688344
threshold,sub-pixel,1.0,0.2767081529311194,0.10368102588391526,0.08110182609010996
canny,pixel,1.0,0.48479442015574337,0.22226538040356314,0.18225681791366322
canny,sub-pixel,1.0,0.2767081529311194,0.10368102588391526,0.08110182609010996
threshold,pixel,1.0,0.4205594373153718,0.08645148815612802,0.05191694699674598
threshold,sub-pixel,1.0,0.282854921217232,0.09861264491307553,0.08198296847520337
canny,pixel,1.0,0.4958721102245427,0.19899410528564676,0.18124026502903035
canny,sub-pixel,1.0,0.28481883463542446,0.10173524382813104,0.08647963477834675
threshold,pixel,1.0,0.42101500992843843,0.08640693902754726,0.030115180157838983
threshold,sub-pixel,1.0,0.27847313569465826,0.08722505657286572,0.06973954675164595
canny,pixel,1.0,0.4879484077360239,0.2022365230294132,0.16806165466083378
canny,sub-pixel,1.0,0.27847313569465826,0.08722505657286572,0.06973954675164595
threshold,pixel,2.0,0.4436568619179303,0.06145668863642717,0.003930942274077642
threshold,sub-pixel,2.0,0.29382944819648554,0.08553334335661056,0.06632869548671261
canny,pixel,2.0,0.49541408272859866,0.17374600708133614,0.10035647402959924
canny,sub-pixel,2.0,0.2958222649879868,0.0871214933567318,0.0613523663092479
threshold,pixel,2.0,0.4256093415826048,0.05965029346882711,0.03710083129848085
threshold,sub-pixel,2.0,0.2899886919060005,0.0761196944609196,0.07896751125443568
canny,pixel,2.0,0.5102752024613992,0.16842334886625354,0.0971955936595581
canny,sub-pixel,2.0,0.3154389996276445,0.0832674549842155,0.04017672416409357
threshold,pixel,2.0,0.4181397192849958,0.06491074114473605,0.021734093780299002
threshold,sub-pixel,2.0,0.2862016925188323,0.07720742105737088,0.06535922982516529
canny,pixel,2.0,0.49495396047680296,0.18075576550367356,0.12251034891935597
canny,sub-pixel,2.0,0.29542247310514097,0.07783321449301639,0.04659908921900402
threshold,pixel,2.0,0.42858380903195237,0.06987262701781494,0.03342677012557749
threshold,sub-pixel,2.0,0.2852315771935868,0.09107392580049467,0.0889926444585516
canny,pixel,2.0,0.4940874043078841,0.18772521658104557,0.12544208174745108
canny,sub-pixel,2.0,0.28970703501207196,0.09212284275647609,0.08899295192624557
threshold,pixel,2.0,0.4309701633987213,0.06922627492254863,0.040216048545365535
threshold,sub-pixel,2.0,0.2835659591446239,0.08612725480962291,0.08540568328324594
canny,pixel,2.0,0.5077669965946692,0.19172989633803594,0.1487601088594983
canny,sub-pixel,2.0,0.28553998472549896,0.08760032086439218,0.08664442927161442
threshold,pixel,4.0,0.44363862297919626,0.0592417165302489,0.03591032907434655
threshold,sub-pixel,4.0,0.3004550027790429,0.08768582652812207,0.07457222092806459
