method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.0)",0.0031514728907495737,0.000742349133361131,0.0038254393730312586,0.05886615253984928,0.0068596601486206055,0.03631913661956787,0.03722643852233887,0.02158939093351364,0.037226468324661255,0.19754740595817566
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.0)",0.0021400379482656717,0.0031134276650846004,0.002659684279933572,0.05905776470899582,0.04258012771606445,0.014094352722167969,0.017529010772705078,0.028337299823760986,0.01752924919128418,0.2102193385362625
seg-only,0,1.0,"(1.5, 8.0, 0.7, 0.0)",0.002622805302962661,0.0027112120296806097,0.0048471554182469845,0.057295871898531914,0.0027517080307006836,0.0003229379653930664,0.004052877426147461,0.002548322081565857,0.004754096269607544,0.19419735670089722
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.0)",0.003918305039405823,0.004170708358287811,0.008229954168200493,0.0857166163623333,0.0030046701431274414,0.015279889106750488,0.013519525527954102,0.009479902684688568,0.013519465923309326,0.20937404036521912
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.0)",0.0033562600146979094,0.004548308439552784,0.0032902800012379885,0.08700564131140709,0.007441401481628418,0.0008987188339233398,0.0025072097778320312,0.005269631743431091,0.003360241651535034,0.1992332488298416
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.0)",0.006095460616052151,0.003358961548656225,0.006636863574385643,0.08559099584817886,0.038382768630981445,0.018596410751342773,0.052625417709350586,0.028489604592323303,0.052625417709350586,0.2059846669435501
seg-only,0,2.0,"(1.5, 8.0, 0.7, 0.0)",0.0029509023297578096,0.00312977796420455,0.004376094322651625,0.0860915444791317,0.019227027893066406,0.002498149871826172,0.013390779495239258,0.011006757616996765,0.013390868902206421,0.20132949203252792
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.0)",0.0066200681030750275,0.004571849014610052,0.0055086649954319,0.13188713043928146,0.00741732120513916,0.0104295015335083,0.015058517456054688,0.009473137557506561,0.015058517456054688,0.21990026533603668
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.0)",0.006689932197332382,0.004608006216585636,0.004051414784044027,0.13161548227071762,0.0006748437881469727,0.007745862007141113,0.0036389827728271484,0.0061584413051605225,0.004462480545043945,0.22002657502889633
seg-only,0,4.0,"(1.5, 8.0, 0.7, 0.0)",0.00282841082662344,0.0037291720509529114,0.0026218148414045572,0.12993015348911285,0.007992744445800781,0.012525439262390137,0.002424001693725586,0.010259062051773071,0.0028432607650756836,0.2194409966468811
