method,seed,config,logpsd_L_all,logpsd_L_low,logpsd_L_mid,logpsd_L_high,logpsd_R_all,logpsd_R_low,logpsd_R_mid,logpsd_R_high,logpsd_W_all,logpsd_W_low,logpsd_W_mid,logpsd_W_high,logpsd_mean_all
seg-only,0,"(1.5, 8.0, 0.3, 0.3)",0.15191525220870972,0.0314333438873291,0.11699292808771133,0.24244460463523865,0.19229266047477722,0.05518653243780136,0.12709765136241913,0.3207674026489258,0.20134234428405762,0.045218706130981445,0.12031947821378708,0.35442230105400085,0.18185008565584818
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.14181873202323914,0.06348323822021484,0.07084976136684418,0.248942568898201,0.16118212044239044,0.027284305542707443,0.08539848774671555,0.29876476526260376,0.18501397967338562,0.0664696916937828,0.1443181186914444,0.2804226577281952,0.16267161071300507
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.13148953020572662,0.04027007147669792,0.134492427110672,0.1705879122018814,0.1845882087945938,0.02991926670074463,0.10204020142555237,0.33852189779281616,0.19166605174541473,0.08009563386440277,0.1639591008424759,0.2708670198917389,0.1692479302485784
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.12921057641506195,0.027233660221099854,0.12740394473075867,0.17808349430561066,0.0823935866355896,0.05238747596740723,0.051482051610946655,0.12715409696102142,0.13020935654640198,0.030727069824934006,0.13030514121055603,0.17602849006652832,0.11393783986568451
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.12683533132076263,0.017498891800642014,0.07954731583595276,0.2245863527059555,0.1981518566608429,0.08821924030780792,0.11291185766458511,0.33413001894950867,0.17384245991706848,0.040209393948316574,0.1648280918598175,0.24453362822532654,0.166276549299558
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.17081241309642792,0.04545370861887932,0.1283700168132782,0.27111271023750305,0.12416384369134903,0.03475666046142578,0.1095791906118393,0.18001332879066467,0.18206602334976196,0.0817115306854248,0.15603689849376678,0.2544126510620117,0.15901409337917963
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.09396262466907501,0.022812049835920334,0.07776135951280594,0.14300264418125153,0.11457810550928116,0.013906816951930523,0.08834602683782578,0.18727385997772217,0.1587490737438202,0.029569607228040695,0.11495853215456009,0.26216089725494385,0.12242993464072545
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.18343475461006165,0.041530292481184006,0.07973829656839371,0.35262563824653625,0.15164929628372192,0.061038970947265625,0.11478009819984436,0.23033861815929413,0.1739041805267334,0.07450251281261444,0.13017421960830688,0.2635118365287781,0.169662743806839
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.09099768102169037,0.026131948456168175,0.06451569497585297,0.14741769433021545,0.11067719757556915,0.039194922894239426,0.08935343474149704,0.1649927794933319,0.13044223189353943,0.03491499274969101,0.14472845196723938,0.16024553775787354,0.11070570349693298
seg-only,0,"(1.5, 8.0, 0.3, 0.6)",0.11266875267028809,0.04825081676244736,0.07256636768579483,0.18250250816345215,0.11122337728738785,0.057852983474731445,0.08059988915920258,0.16647934913635254,0.14865973591804504,0.04464024305343628,0.10319564491510391,0.24213284254074097,0.124183955291907
