method,seed,k_n,config,precision_sigma_L,precision_sigma_R,precision_sigma_W,pos_jitter,bias_sigma_L,bias_sigma_R,bias_sigma_W,ler_mae,lwr_mae,edge_mae
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.3)",0.033793941140174866,0.060947466641664505,0.06515331566333771,0.3950669765472412,0.420468807220459,0.3392430543899536,0.473810076713562,0.3798559606075287,0.4738101065158844,0.8230447471141815
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.3)",0.04935793951153755,0.06848329305648804,0.0536014698445797,0.4871092736721039,0.3052070140838623,0.32062041759490967,0.21235358715057373,0.3129136264324188,0.2123536616563797,0.8487244248390198
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.3)",0.03577858954668045,0.08216675370931625,0.10814794898033142,0.49397701025009155,0.34176599979400635,0.3001589775085449,0.30441391468048096,0.32096248865127563,0.30441397428512573,0.8525983989238739
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.3)",0.03938823193311691,0.05479796230792999,0.07535862922668457,0.49899163842201233,0.27280092239379883,0.34707653522491455,0.34326136112213135,0.3099387288093567,0.34326136112213135,0.8431010842323303
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.3)",0.04869643598794937,0.06584043800830841,0.059789009392261505,0.4661726951599121,0.41084253787994385,0.35312068462371826,0.47530925273895264,0.38198158144950867,0.47530925273895264,0.8719323575496674
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.6)",0.048340268433094025,0.05117180570960045,0.07812094688415527,0.34235939383506775,0.4199167490005493,0.43943315744400024,0.3184593915939331,0.4296749383211136,0.3184594511985779,0.8372819125652313
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.6)",0.0527646541595459,0.0370032861828804,0.0517037957906723,0.34298884868621826,0.4874246120452881,0.4189525842666626,0.28604936599731445,0.45318861305713654,0.2860493063926697,0.8079320788383484
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.6)",0.056299999356269836,0.0324852392077446,0.04504309222102165,0.36176224052906036,0.4435049295425415,0.33077239990234375,0.21936023235321045,0.38713863492012024,0.21936029195785522,0.8326504528522491
seg-only,0,2.7215246093245504,"(1.5, 8.0, 0.3, 0.6)",0.05870860069990158,0.08083795756101608,0.053849585354328156,0.3558043986558914,0.372761607170105,0.364027738571167,0.20355558395385742,0.3683946579694748,0.20355552434921265,0.8061428070068359
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.6)",0.04236190766096115,0.062250856310129166,0.055019088089466095,0.36980220675468445,0.47815465927124023,0.4115750789642334,0.3733009099960327,0.444864884018898,0.3733009099960327,0.8405097126960754
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.6)",0.04025209695100784,0.06235137954354286,0.07324432581663132,0.3568999171257019,0.37359917163848877,0.3220120668411255,0.2743419408798218,0.34780558943748474,0.27434200048446655,0.8174199461936951
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.6)",0.040794648230075836,0.031615935266017914,0.060273803770542145,0.3610250651836395,0.43205976486206055,0.3680386543273926,0.27799713611602783,0.40004920959472656,0.27799710631370544,0.8207881450653076
seg-only,0,5.443049218649101,"(1.5, 8.0, 0.3, 0.6)",0.055572398006916046,0.042284976691007614,0.04381854832172394,0.373967707157135,0.31327641010284424,0.3886038064956665,0.1999669075012207,0.35094016790390015,0.1999669075012207,0.8120846152305603
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.6)",0.06992359459400177,0.05102018266916275,0.08211155235767365,0.40892551839351654,0.37542176246643066,0.2860158681869507,0.26445460319519043,0.3307188004255295,0.26445454359054565,0.8330678343772888
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.6)",0.040167197585105896,0.07378843426704407,0.046993687748909,0.3976214528083801,0.391430139541626,0.4261433482170105,0.22418534755706787,0.40878674387931824,0.2241852879524231,0.8453168570995331
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.6)",0.06599506735801697,0.060493387281894684,0.07192637026309967,0.3998601883649826,0.46841883659362793,0.33866453170776367,0.2153850793838501,0.4035416841506958,0.2153850793838501,0.8330742120742798
seg-only,0,10.886098437298202,"(1.5, 8.0, 0.3, 0.6)",0.0445408895611763,0.048753831535577774,0.07451768219470978,0.4157581329345703,0.33603739738464355,0.34848082065582275,0.13413870334625244,0.34225910902023315,0.13413867354393005,0.8269237577915192
seg-only,0,21.772196874596403,"(1.5, 8.0, 0.3, 0.6)",0.03635222464799881,0.06996913999319077,0.0782158300280571,0.496512770652771,0.3476608991622925,0.23090529441833496,0.12758982181549072,0.2892831042408943,0.12904706597328186,0.8563163578510284
