d_sigma_L,d_sigma_R,d_sigma_W,d_pos,d_width,sigma_W_A,sigma_W_B,method,pair,y_A,width_px,ncc
0.20802950859069824,0.14859116077423096,0.08966398239135742,1.7505356914424137,0.4456047459427239,4.117983341217041,4.207647323608398,classical,sem0021.png->sem0050.png,1142,23.5,0.6509872674942017
0.08419513702392578,0.06773722171783447,0.2482128143310547,1.669950246810913,0.09870147705078125,5.127871513366699,4.8796586990356445,learned,sem0021.png->sem0050.png,1142,23.5,0.6509872674942017
0.2963428497314453,0.02827596664428711,0.20474910736083984,1.5723791171641257,0.058189943402361166,8.868659973144531,9.073409080505371,classical,sem0021.png->sem0050.png,1188,24.0,0.6509872674942017
0.3152732849121094,0.36037635803222656,0.5629329681396484,4.389088153839111,0.3442878723144531,7.841376304626465,8.404309272766113,learned,sem0021.png->sem0050.png,1188,24.0,0.6509872674942017
0.02288055419921875,0.35860204696655273,0.4166984558105469,1.7576669807676673,0.22705250322051285,4.752056121826172,4.335357666015625,classical,sem0021.png->sem0050.png,1278,25.0,0.6509872674942017
0.19257736206054688,0.5891873836517334,0.38102102279663086,4.183588027954102,0.5097465515136719,6.594142913818359,6.2131218910217285,learned,sem0021.png->sem0050.png,1278,25.0,0.6509872674942017
0.1115880012512207,0.015788793563842773,0.4130744934082031,2.14853000201483,0.29970813854203726,4.626205921173096,4.213131427764893,classical,sem0021.png->sem0050.png,1324,21.5,0.6509872674942017
0.4716362953186035,0.11994791030883789,0.10806846618652344,4.175629615783691,0.09564971923828125,7.516435623168945,7.408367156982422,learned,sem0021.png->sem0050.png,1324,21.5,0.6509872674942017
0.5423130989074707,0.08049345016479492,1.0614924430847168,2.0490570353919924,0.5260097121380838,4.861320972442627,5.922813415527344,classical,sem0021.png->sem0050.png,1370,25.0,0.6509872674942017
0.07770919799804688,0.41666555404663086,0.1933121681213379,2.107846260070801,0.09494400024414062,5.7942423820495605,5.987554550170898,learned,sem0021.png->sem0050.png,1370,25.0,0.6509872674942017
0.11813688278198242,0.004088401794433594,0.1775660514831543,1.6864460305632696,0.1493970047013633,3.2593300342559814,3.081763982772827,classical,sem0021.png->sem0050.png,1549,24.5,0.6509872674942017
